instant,dteday,season,year,month,holiday,one_of_week,workingday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category,month_name,last_purchase_date,recency
1,2011-01-01,Musim Semi,2011,1,0,Sabtu,0,Mendung,0.344167,0.363625,80.58330000000001,0.160446,331,654,985,weekend,Lembab,Januari,2011-01-01,730
2,2011-01-02,Musim Semi,2011,1,0,Minggu,0,Mendung,0.363478,0.353739,69.6087,0.248539,131,670,801,weekend,Lembab,Januari,2011-01-02,729
3,2011-01-03,Musim Semi,2011,1,0,Senin,1,Cerah,0.196364,0.189405,43.7273,0.248309,120,1229,1349,weekdays,Kering,Januari,2011-01-03,728
4,2011-01-04,Musim Semi,2011,1,0,Selasa,1,Cerah,0.2,0.212122,59.0435,0.160296,108,1454,1562,weekdays,Ideal,Januari,2011-01-04,727
5,2011-01-05,Musim Semi,2011,1,0,Rabu,1,Cerah,0.226957,0.22927,43.695699999999995,0.1869,82,1518,1600,weekdays,Kering,Januari,2011-01-05,726
6,2011-01-06,Musim Semi,2011,1,0,Kamis,1,Cerah,0.204348,0.233209,51.8261,0.0895652,88,1518,1606,weekdays,Ideal,Januari,2011-01-06,725
7,2011-01-07,Musim Semi,2011,1,0,Jumat,1,Mendung,0.196522,0.208839,49.8696,0.168726,148,1362,1510,weekdays,Ideal,Januari,2011-01-07,724
8,2011-01-08,Musim Semi,2011,1,0,Sabtu,0,Mendung,0.165,0.162254,53.5833,0.266804,68,891,959,weekend,Ideal,Januari,2011-01-08,723
9,2011-01-09,Musim Semi,2011,1,0,Minggu,0,Cerah,0.138333,0.116175,43.416700000000006,0.36195,54,768,822,weekend,Kering,Januari,2011-01-09,722
10,2011-01-10,Musim Semi,2011,1,0,Senin,1,Cerah,0.150833,0.150888,48.2917,0.223267,41,1280,1321,weekdays,Ideal,Januari,2011-01-10,721
11,2011-01-11,Musim Semi,2011,1,0,Selasa,1,Mendung,0.169091,0.191464,68.6364,0.122132,43,1220,1263,weekdays,Lembab,Januari,2011-01-11,720
12,2011-01-12,Musim Semi,2011,1,0,Rabu,1,Cerah,0.172727,0.160473,59.954499999999996,0.304627,25,1137,1162,weekdays,Ideal,Januari,2011-01-12,719
13,2011-01-13,Musim Semi,2011,1,0,Kamis,1,Cerah,0.165,0.150883,47.0417,0.301,38,1368,1406,weekdays,Ideal,Januari,2011-01-13,718
14,2011-01-14,Musim Semi,2011,1,0,Jumat,1,Cerah,0.16087,0.188413,53.7826,0.126548,54,1367,1421,weekdays,Ideal,Januari,2011-01-14,717
15,2011-01-15,Musim Semi,2011,1,0,Sabtu,0,Mendung,0.233333,0.248112,49.875,0.157963,222,1026,1248,weekend,Ideal,Januari,2011-01-15,716
16,2011-01-16,Musim Semi,2011,1,0,Minggu,0,Cerah,0.231667,0.234217,48.375,0.188433,251,953,1204,weekend,Ideal,Januari,2011-01-16,715
17,2011-01-17,Musim Semi,2011,1,1,Senin,0,Mendung,0.175833,0.176771,53.75,0.194017,117,883,1000,weekdays,Ideal,Januari,2011-01-17,714
18,2011-01-18,Musim Semi,2011,1,0,Selasa,1,Mendung,0.216667,0.232333,86.16669999999999,0.146775,9,674,683,weekdays,Lembab,Januari,2011-01-18,713
19,2011-01-19,Musim Semi,2011,1,0,Rabu,1,Mendung,0.292174,0.298422,74.1739,0.208317,78,1572,1650,weekdays,Lembab,Januari,2011-01-19,712
20,2011-01-20,Musim Semi,2011,1,0,Kamis,1,Mendung,0.261667,0.25505,53.833299999999994,0.195904,83,1844,1927,weekdays,Ideal,Januari,2011-01-20,711
21,2011-01-21,Musim Semi,2011,1,0,Jumat,1,Cerah,0.1775,0.157833,45.7083,0.353242,75,1468,1543,weekdays,Ideal,Januari,2011-01-21,710
22,2011-01-22,Musim Semi,2011,1,0,Sabtu,0,Cerah,0.0591304,0.0790696,40.0,0.17197,93,888,981,weekend,Kering,Januari,2011-01-22,709
23,2011-01-23,Musim Semi,2011,1,0,Minggu,0,Cerah,0.0965217,0.0988391,43.6522,0.2466,150,836,986,weekend,Kering,Januari,2011-01-23,708
24,2011-01-24,Musim Semi,2011,1,0,Senin,1,Cerah,0.0973913,0.11793,49.173899999999996,0.15833,86,1330,1416,weekdays,Ideal,Januari,2011-01-24,707
25,2011-01-25,Musim Semi,2011,1,0,Selasa,1,Mendung,0.223478,0.234526,61.695699999999995,0.129796,186,1799,1985,weekdays,Ideal,Januari,2011-01-25,706
26,2011-01-26,Musim Semi,2011,1,0,Rabu,1,Hujan Ringan,0.2175,0.2036,86.25,0.29385,34,472,506,weekdays,Lembab,Januari,2011-01-26,705
27,2011-01-27,Musim Semi,2011,1,0,Kamis,1,Cerah,0.195,0.2197,68.75,0.113837,15,416,431,weekdays,Lembab,Januari,2011-01-27,704
28,2011-01-28,Musim Semi,2011,1,0,Jumat,1,Mendung,0.203478,0.223317,79.30430000000001,0.1233,38,1129,1167,weekdays,Lembab,Januari,2011-01-28,703
29,2011-01-29,Musim Semi,2011,1,0,Sabtu,0,Cerah,0.196522,0.212126,65.17389999999999,0.145365,123,975,1098,weekend,Lembab,Januari,2011-01-29,702
30,2011-01-30,Musim Semi,2011,1,0,Minggu,0,Cerah,0.216522,0.250322,72.2174,0.0739826,140,956,1096,weekend,Lembab,Januari,2011-01-30,701
31,2011-01-31,Musim Semi,2011,1,0,Senin,1,Mendung,0.180833,0.18625,60.375,0.187192,42,1459,1501,weekdays,Ideal,Januari,2011-01-31,700
32,2011-02-01,Musim Semi,2011,2,0,Selasa,1,Mendung,0.192174,0.23453,82.9565,0.053213,47,1313,1360,weekdays,Lembab,Febuari,2011-02-01,699
33,2011-02-02,Musim Semi,2011,2,0,Rabu,1,Mendung,0.26,0.254417,77.5417,0.264308,72,1454,1526,weekdays,Lembab,Febuari,2011-02-02,698
34,2011-02-03,Musim Semi,2011,2,0,Kamis,1,Cerah,0.186957,0.177878,43.7826,0.277752,61,1489,1550,weekdays,Kering,Febuari,2011-02-03,697
35,2011-02-04,Musim Semi,2011,2,0,Jumat,1,Mendung,0.211304,0.228587,58.521699999999996,0.127839,88,1620,1708,weekdays,Ideal,Febuari,2011-02-04,696
36,2011-02-05,Musim Semi,2011,2,0,Sabtu,0,Mendung,0.233333,0.243058,92.91669999999999,0.161079,100,905,1005,weekend,Lembab,Febuari,2011-02-05,695
37,2011-02-06,Musim Semi,2011,2,0,Minggu,0,Cerah,0.285833,0.291671,56.833299999999994,0.1418,354,1269,1623,weekend,Ideal,Febuari,2011-02-06,694
38,2011-02-07,Musim Semi,2011,2,0,Senin,1,Cerah,0.271667,0.303658,73.83330000000001,0.0454083,120,1592,1712,weekdays,Lembab,Febuari,2011-02-07,693
39,2011-02-08,Musim Semi,2011,2,0,Selasa,1,Cerah,0.220833,0.198246,53.7917,0.36195,64,1466,1530,weekdays,Ideal,Febuari,2011-02-08,692
40,2011-02-09,Musim Semi,2011,2,0,Rabu,1,Mendung,0.134783,0.144283,49.4783,0.188839,53,1552,1605,weekdays,Ideal,Febuari,2011-02-09,691
41,2011-02-10,Musim Semi,2011,2,0,Kamis,1,Cerah,0.144348,0.149548,43.7391,0.221935,47,1491,1538,weekdays,Kering,Febuari,2011-02-10,690
42,2011-02-11,Musim Semi,2011,2,0,Jumat,1,Cerah,0.189091,0.213509,50.6364,0.10855,149,1597,1746,weekdays,Ideal,Febuari,2011-02-11,689
43,2011-02-12,Musim Semi,2011,2,0,Sabtu,0,Cerah,0.2225,0.232954,54.4167,0.203367,288,1184,1472,weekend,Ideal,Febuari,2011-02-12,688
44,2011-02-13,Musim Semi,2011,2,0,Minggu,0,Cerah,0.316522,0.324113,45.7391,0.260883,397,1192,1589,weekend,Ideal,Febuari,2011-02-13,687
45,2011-02-14,Musim Semi,2011,2,0,Senin,1,Cerah,0.415,0.39835,37.583299999999994,0.417908,208,1705,1913,weekdays,Kering,Febuari,2011-02-14,686
46,2011-02-15,Musim Semi,2011,2,0,Selasa,1,Cerah,0.266087,0.254274,31.434800000000003,0.291374,140,1675,1815,weekdays,Kering,Febuari,2011-02-15,685
47,2011-02-16,Musim Semi,2011,2,0,Rabu,1,Cerah,0.318261,0.3162,42.3478,0.251791,218,1897,2115,weekdays,Kering,Febuari,2011-02-16,684
48,2011-02-17,Musim Semi,2011,2,0,Kamis,1,Cerah,0.435833,0.428658,50.5,0.230104,259,2216,2475,weekdays,Ideal,Febuari,2011-02-17,683
49,2011-02-18,Musim Semi,2011,2,0,Jumat,1,Cerah,0.521667,0.511983,51.6667,0.264925,579,2348,2927,weekdays,Ideal,Febuari,2011-02-18,682
50,2011-02-19,Musim Semi,2011,2,0,Sabtu,0,Cerah,0.399167,0.391404,18.7917,0.507463,532,1103,1635,weekend,Kering,Febuari,2011-02-19,681
51,2011-02-20,Musim Semi,2011,2,0,Minggu,0,Cerah,0.285217,0.27733,40.7826,0.223235,639,1173,1812,weekend,Kering,Febuari,2011-02-20,680
52,2011-02-21,Musim Semi,2011,2,1,Senin,0,Mendung,0.303333,0.284075,60.5,0.307846,195,912,1107,weekdays,Ideal,Febuari,2011-02-21,679
53,2011-02-22,Musim Semi,2011,2,0,Selasa,1,Cerah,0.182222,0.186033,57.7778,0.195683,74,1376,1450,weekdays,Ideal,Febuari,2011-02-22,678
54,2011-02-23,Musim Semi,2011,2,0,Rabu,1,Cerah,0.221739,0.245717,42.3043,0.094113,139,1778,1917,weekdays,Kering,Febuari,2011-02-23,677
55,2011-02-24,Musim Semi,2011,2,0,Kamis,1,Mendung,0.295652,0.289191,69.7391,0.250496,100,1707,1807,weekdays,Lembab,Febuari,2011-02-24,676
56,2011-02-25,Musim Semi,2011,2,0,Jumat,1,Mendung,0.364348,0.350461,71.2174,0.346539,120,1341,1461,weekdays,Lembab,Febuari,2011-02-25,675
57,2011-02-26,Musim Semi,2011,2,0,Sabtu,0,Cerah,0.2825,0.282192,53.7917,0.186571,424,1545,1969,weekend,Ideal,Febuari,2011-02-26,674
58,2011-02-27,Musim Semi,2011,2,0,Minggu,0,Cerah,0.343478,0.351109,68.0,0.125248,694,1708,2402,weekend,Lembab,Febuari,2011-02-27,673
59,2011-02-28,Musim Semi,2011,2,0,Senin,1,Mendung,0.407273,0.400118,87.63640000000001,0.289686,81,1365,1446,weekdays,Lembab,Febuari,2011-02-28,672
60,2011-03-01,Musim Semi,2011,3,0,Selasa,1,Cerah,0.266667,0.263879,53.5,0.216425,137,1714,1851,weekdays,Ideal,Maret,2011-03-01,671
61,2011-03-02,Musim Semi,2011,3,0,Rabu,1,Cerah,0.335,0.320071,44.9583,0.307833,231,1903,2134,weekdays,Kering,Maret,2011-03-02,670
62,2011-03-03,Musim Semi,2011,3,0,Kamis,1,Cerah,0.198333,0.200133,31.833299999999998,0.225754,123,1562,1685,weekdays,Kering,Maret,2011-03-03,669
63,2011-03-04,Musim Semi,2011,3,0,Jumat,1,Mendung,0.261667,0.255679,61.0417,0.203346,214,1730,1944,weekdays,Ideal,Maret,2011-03-04,668
64,2011-03-05,Musim Semi,2011,3,0,Sabtu,0,Mendung,0.384167,0.378779,78.91669999999999,0.251871,640,1437,2077,weekend,Lembab,Maret,2011-03-05,667
65,2011-03-06,Musim Semi,2011,3,0,Minggu,0,Mendung,0.376522,0.366252,94.8261,0.343287,114,491,605,weekend,Lembab,Maret,2011-03-06,666
66,2011-03-07,Musim Semi,2011,3,0,Senin,1,Cerah,0.261739,0.238461,55.1304,0.341352,244,1628,1872,weekdays,Ideal,Maret,2011-03-07,665
67,2011-03-08,Musim Semi,2011,3,0,Selasa,1,Cerah,0.2925,0.3024,42.0833,0.12065,316,1817,2133,weekdays,Kering,Maret,2011-03-08,664
68,2011-03-09,Musim Semi,2011,3,0,Rabu,1,Mendung,0.295833,0.286608,77.5417,0.22015,191,1700,1891,weekdays,Lembab,Maret,2011-03-09,663
69,2011-03-10,Musim Semi,2011,3,0,Kamis,1,Hujan Ringan,0.389091,0.385668,0.0,0.261877,46,577,623,weekdays,Kering,Maret,2011-03-10,662
70,2011-03-11,Musim Semi,2011,3,0,Jumat,1,Mendung,0.316522,0.305,64.95649999999999,0.23297,247,1730,1977,weekdays,Ideal,Maret,2011-03-11,661
71,2011-03-12,Musim Semi,2011,3,0,Sabtu,0,Cerah,0.329167,0.32575,59.458299999999994,0.220775,724,1408,2132,weekend,Ideal,Maret,2011-03-12,660
72,2011-03-13,Musim Semi,2011,3,0,Minggu,0,Cerah,0.384348,0.380091,52.73910000000001,0.270604,982,1435,2417,weekend,Ideal,Maret,2011-03-13,659
73,2011-03-14,Musim Semi,2011,3,0,Senin,1,Cerah,0.325217,0.332,49.695699999999995,0.136926,359,1687,2046,weekdays,Ideal,Maret,2011-03-14,658
74,2011-03-15,Musim Semi,2011,3,0,Selasa,1,Mendung,0.317391,0.318178,65.5652,0.184309,289,1767,2056,weekdays,Lembab,Maret,2011-03-15,657
75,2011-03-16,Musim Semi,2011,3,0,Rabu,1,Mendung,0.365217,0.36693,77.65220000000001,0.203117,321,1871,2192,weekdays,Lembab,Maret,2011-03-16,656
76,2011-03-17,Musim Semi,2011,3,0,Kamis,1,Cerah,0.415,0.410333,60.291700000000006,0.209579,424,2320,2744,weekdays,Ideal,Maret,2011-03-17,655
77,2011-03-18,Musim Semi,2011,3,0,Jumat,1,Cerah,0.54,0.527009,52.5217,0.231017,884,2355,3239,weekdays,Ideal,Maret,2011-03-18,654
78,2011-03-19,Musim Semi,2011,3,0,Sabtu,0,Cerah,0.4725,0.466525,37.9167,0.368167,1424,1693,3117,weekend,Kering,Maret,2011-03-19,653
79,2011-03-20,Musim Semi,2011,3,0,Minggu,0,Cerah,0.3325,0.32575,47.375,0.207721,1047,1424,2471,weekend,Ideal,Maret,2011-03-20,652
80,2011-03-21,Musim Panas,2011,3,0,Senin,1,Mendung,0.430435,0.409735,73.73910000000001,0.288783,401,1676,2077,weekdays,Lembab,Maret,2011-03-21,651
81,2011-03-22,Musim Panas,2011,3,0,Selasa,1,Cerah,0.441667,0.440642,62.4583,0.22575,460,2243,2703,weekdays,Ideal,Maret,2011-03-22,650
82,2011-03-23,Musim Panas,2011,3,0,Rabu,1,Mendung,0.346957,0.337939,83.9565,0.234261,203,1918,2121,weekdays,Lembab,Maret,2011-03-23,649
83,2011-03-24,Musim Panas,2011,3,0,Kamis,1,Mendung,0.285,0.270833,80.58330000000001,0.243787,166,1699,1865,weekdays,Lembab,Maret,2011-03-24,648
84,2011-03-25,Musim Panas,2011,3,0,Jumat,1,Cerah,0.264167,0.256312,49.5,0.230725,300,1910,2210,weekdays,Ideal,Maret,2011-03-25,647
85,2011-03-26,Musim Panas,2011,3,0,Sabtu,0,Cerah,0.265833,0.257571,39.4167,0.209571,981,1515,2496,weekend,Kering,Maret,2011-03-26,646
86,2011-03-27,Musim Panas,2011,3,0,Minggu,0,Mendung,0.253043,0.250339,49.3913,0.1843,472,1221,1693,weekend,Ideal,Maret,2011-03-27,645
87,2011-03-28,Musim Panas,2011,3,0,Senin,1,Cerah,0.264348,0.257574,30.2174,0.212204,222,1806,2028,weekdays,Kering,Maret,2011-03-28,644
88,2011-03-29,Musim Panas,2011,3,0,Selasa,1,Cerah,0.3025,0.292908,31.4167,0.226996,317,2108,2425,weekdays,Kering,Maret,2011-03-29,643
89,2011-03-30,Musim Panas,2011,3,0,Rabu,1,Mendung,0.3,0.29735,64.6667,0.172888,168,1368,1536,weekdays,Ideal,Maret,2011-03-30,642
